Term,Subj,Num,Dept Desc,Units,Cap,Enrolled,Yr
Fall,CSC,100,Computer Science,3.0,550.0,522.0,1
Fall,CSC,106,Computer Science,3.0,215.0,206.0,1
Fall,CSC,110,Computer Science,7.5,402.0,383.0,1
Fall,CSC,111,Computer Science,6.0,400.0,346.0,1
Fall,CSC,115,Computer Science,3.0,150.0,130.0,1
Fall,CSC,116,Computer Science,3.0,192.0,124.0,1
Fall,CSC,225,Computer Science,3.0,215.0,197.0,2
Fall,CSC,226,Computer Science,3.0,140.0,87.0,2
Fall,CSC,230,Computer Science,4.5,200.0,149.0,2
Fall,CSC,320,Computer Science,4.5,174.0,166.0,3
Fall,CSC,349A,Computer Science,3.0,150.0,144.0,3
Fall,CSC,355,Computer Science,3.0,140.0,130.0,3
Fall,CSC,360,Computer Science,4.5,148.0,142.0,3
Fall,CSC,361,Computer Science,4.5,150.0,144.0,3
Fall,CSC,370,Computer Science,4.5,150.0,135.0,3
Fall,CSC,375,Computer Science,3.0,129.0,115.0,3
Fall,CSC,421,Computer Science,1.5,145.0,142.0,4
Fall,CSC,423,Computer Science,3.0,90.0,50.0,4
Fall,CSC,429,Computer Science,1.5,40.0,32.0,4
Fall,CSC,461,Computer Science,1.5,40.0,40.0,4
Fall,CSC,471,Computer Science,1.5,20.0,9.0,4
Fall,CSC,475,Computer Science,1.5,46.0,33.0,4
Fall,CSC,482A,Computer Science,1.5,30.0,7.0,4
Fall,CSC,482B,Computer Science,1.5,23.0,16.0,4
Fall,CSC,485A,Computer Science,1.5,25.0,15.0,4
Fall,CSC,490,Computer Science,3.0,2.0,2.0,4
Fall,CSC,497,Computer Science,6.0,4.0,4.0,4
Fall,CSC,499,Computer Science,7.5,5.0,5.0,4
Fall,ECE,216,Electrical & Computer Engg,1.5,60.0,30.0,2
Fall,ECE,241,Electrical & Computer Engg,1.5,90.0,68.0,2
Fall,ECE,250,Electrical & Computer Engg,1.5,250.0,198.0,2
Fall,ECE,255,Electrical & Computer Engg,1.5,120.0,83.0,2
Fall,ECE,260,Electrical & Computer Engg,3.0,144.0,122.0,2
Fall,ECE,335,Electrical & Computer Engg,1.5,8.0,1.0,3
Fall,ECE,350,Electrical & Computer Engg,1.5,110.0,105.0,3
Fall,ECE,355,Electrical & Computer Engg,1.5,154.0,150.0,3
Fall,ECE,356,Electrical & Computer Engg,1.5,30.0,16.0,3
Fall,ECE,360,Electrical & Computer Engg,1.5,117.0,101.0,3
Fall,ECE,365,Electrical & Computer Engg,1.5,160.0,138.0,3
Fall,ECE,370,Electrical & Computer Engg,1.5,115.0,94.0,3
Fall,ECE,380,Electrical & Computer Engg,1.5,115.0,90.0,3
Fall,ECE,399,Electrical & Computer Engg,1.5,120.0,98.0,3
Fall,ECE,403,Electrical & Computer Engg,1.5,16.0,14.0,4
Fall,ECE,463,Electrical & Computer Engg,1.5,32.0,36.0,4
Fall,ECE,484,Electrical & Computer Engg,3.0,35.0,25.0,4
Fall,ECE,498,Electrical & Computer Engg,1.5,1.0,1.0,4
Fall,SENG,265,Computer Science,4.5,215.0,199.0,2
Fall,SENG,275,Computer Science,33.0,693.0,748.0,2
Fall,SENG,321,Computer Science,3.0,50.0,54.0,3
Fall,SENG,350,Computer Science,3.0,93.0,53.0,3
Fall,SENG,360,Computer Science,4.5,115.0,112.0,3
Fall,SENG,474,Computer Science,3.0,150.0,135.0,4
Fall,SENG,480A,Computer Science,1.5,25.0,21.0,4
Fall,SENG,480C,Computer Science,1.5,4.0,2.0,4
Fall,SENG,490,Computer Science,1.5,1.0,1.0,4
Summer,CSC,106,Computer Science,3.0,74.0,64.0,1
Summer,CSC,110,Computer Science,3.0,100.0,66.0,1
Summer,CSC,115,Computer Science,3.0,115.0,86.0,1
Summer,CSC,225,Computer Science,4.5,145.0,63.0,2
Summer,CSC,226,Computer Science,3.0,120.0,91.0,2
Summer,CSC,230,Computer Science,3.0,115.0,53.0,2
Summer,CSC,320,Computer Science,3.0,136.0,123.0,3
Summer,CSC,370,Computer Science,3.0,80.0,78.0,3
Summer,CSC,426,Computer Science,1.5,48.0,33.0,4
Summer,CSC,462,Computer Science,1.5,55.0,40.0,4
